id_a,id_b,title_a,title_b,cosine_full,cosine_title_only,cosine_normalized,label_blank
143,152,Three-engine brain architecture: perception + subconscious + janitor with shared LLM-extractor primitive,"Three-engine brain framing: perception, subconscious, janitor — one shared LLM-extractor primitive",0.8134,0.8978,0.8878,TRUE_DUP
34,102,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs with embeddings,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs,0.9595,0.9679,0.9655,TRUE_DUP
43,103,Bundle test-discipline refactor with the runtime fix that exposed it,Bundle test refactor with runtime fix when test gap caused the bug,0.9484,0.8669,0.9212,TRUE_DUP
45,121,Mirror byte-equality is verifiable via ~/.igris/core/scripts/verify_mirror.sh,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9464,0.9330,0.9520,TRUE_DUP
73,129,"Use BR-062 verify_mirror.sh primitive for mirror-integrity checks, quote verbatim",Use BR-062 verify_mirror.sh primitive for mirror-integrity checks instead of ad-hoc diff,0.9380,0.8286,0.9278,TRUE_DUP
54,77,Apply bootEngine + try/finally engine.shutdown() to all short-lived brain CLIs,Apply bootEngine + try/finally engine.shutdown() to all short-lived brain CLI scripts,0.9378,0.9472,0.9031,TRUE_DUP
32,124,Filter SYNC_TABLES against sqlite_master at runtime for resilience,Filter SYNC_TABLES against sqlite_master per-call as resilience layer for schema drift,0.9358,0.8505,0.9383,TRUE_DUP
58,81,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually populate vec table,sqlite-vec v0.1.7 native mutex teardown race fires only when embeddings actually run,0.9348,0.9238,0.9416,TRUE_DUP
42,102,Short-lived Node CLIs with sqlite-vec crash on teardown after embedding work,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs,0.9340,0.8563,0.9357,TRUE_DUP
33,109,"Capture exit codes through hooks with set +e/set -e, log truthfully",Capture rc with set +e/set -e bracket and write definitive exit-code log line,0.9311,0.7415,0.9195,TRUE_DUP
30,38,"Mock at the I/O boundary, not at the function under test","Mock at I/O boundary, never mock the function under test",0.9307,0.9702,0.9172,TRUE_DUP
105,121,Igris brain has BR-062 verify_mirror.sh primitive for byte-equal symlink checks,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9292,0.8323,0.9032,TRUE_DUP
32,40,Filter SYNC_TABLES against sqlite_master at runtime for resilience,Defense-in-depth for sync handlers: filter SYNC_TABLES against sqlite_master,0.9279,0.8614,0.9031,TRUE_DUP
58,67,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually populate vec table,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually run,0.9279,0.9670,0.9337,TRUE_DUP
55,69,Mocking the function-under-test erases the bug surface in tests,"Mock at I/O boundary, not the function under test — preserve bug surface",0.9244,0.7747,0.8727,TRUE_DUP
111,121,Use BR-062 verify_mirror.sh primitive for symlink/mirror byte-equality checks,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9232,0.7622,0.9215,TRUE_DUP
30,69,"Mock at the I/O boundary, not at the function under test","Mock at I/O boundary, not the function under test — preserve bug surface",0.9225,0.8976,0.9163,TRUE_DUP
39,70,Standalone CLIs must boot the engine to run per-component migrations,Standalone CLIs must boot the engine to run per-component migrations,0.9224,1.0000,0.9200,TRUE_DUP
64,124,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iterating,Filter SYNC_TABLES against sqlite_master per-call as resilience layer for schema drift,0.9211,0.7673,0.9291,TRUE_DUP
45,83,Mirror byte-equality is verifiable via ~/.igris/core/scripts/verify_mirror.sh,Sentinel MIRROR_CHECK contract: quote verbatim primitive output for byte-equal claims,0.9207,0.5711,0.8920,TRUE_DUP
41,109,"Capture exit code with set +e/set -e bracket, not || true",Capture rc with set +e/set -e bracket and write definitive exit-code log line,0.9202,0.7631,0.9098,TRUE_DUP
38,122,"Mock at I/O boundary, never mock the function under test","Mock at I/O boundary, not at logic boundary, to preserve bug surface in tests",0.9197,0.8067,0.9052,TRUE_DUP
59,121,"Use BR-062 verify_mirror.sh primitive for symlink/byte-equality claims, not raw diff",Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9197,0.7455,0.9275,TRUE_DUP
70,136,Standalone CLIs must boot the engine to run per-component migrations,Standalone CLI scripts must run engine boot to get per-component migrations,0.9193,0.9114,0.8606,TRUE_DUP
102,127,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs,sqlite-vec v0.1.7 + transformers worker triggers libc++abi mutex crash on short-lived CLI exit,0.9193,0.8128,0.9131,TRUE_DUP
67,74,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually run,sqlite-vec teardown crash only fires when embeddings pipeline actually runs,0.9192,0.8747,0.9169,TRUE_DUP
91,114,Don't mock the function under test — mock at the I/O boundary instead,Don't mock the function under test — mock at the I/O boundary instead,0.9184,1.0000,0.9049,TRUE_DUP
34,81,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs with embeddings,sqlite-vec v0.1.7 native mutex teardown race fires only when embeddings actually run,0.9181,0.8578,0.8916,TRUE_DUP
34,42,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs with embeddings,Short-lived Node CLIs with sqlite-vec crash on teardown after embedding work,0.9179,0.9167,0.9175,TRUE_DUP
90,121,Use BR-062 verify_mirror.sh primitive for symlink/mirror integrity checks,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9178,0.7140,0.9182,TRUE_DUP
83,121,Sentinel MIRROR_CHECK contract: quote verbatim primitive output for byte-equal claims,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9175,0.5722,0.8970,TRUE_DUP
45,105,Mirror byte-equality is verifiable via ~/.igris/core/scripts/verify_mirror.sh,Igris brain has BR-062 verify_mirror.sh primitive for byte-equal symlink checks,0.9170,0.7819,0.8956,TRUE_DUP
58,74,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually populate vec table,sqlite-vec teardown crash only fires when embeddings pipeline actually runs,0.9157,0.8657,0.9345,TRUE_DUP
33,93,"Capture exit codes through hooks with set +e/set -e, log truthfully",Capture exit codes from `nohup`/detached processes with set +e/set -e bracket,0.9152,0.6919,0.9053,TRUE_DUP
64,79,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iterating,Defense-in-depth for sync table iteration: filter SYNC_TABLES against sqlite_master per-call,0.9148,0.9390,0.8814,TRUE_DUP
100,124,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iteration,Filter SYNC_TABLES against sqlite_master per-call as resilience layer for schema drift,0.9145,0.7892,0.9161,TRUE_DUP
58,89,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually populate vec table,sqlite-vec v0.1.7 mutex teardown crash conditional on embedding pipeline + vec ops,0.9145,0.9122,0.9208,TRUE_DUP
67,89,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually run,sqlite-vec v0.1.7 mutex teardown crash conditional on embedding pipeline + vec ops,0.9145,0.9181,0.8896,TRUE_DUP
34,127,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs with embeddings,sqlite-vec v0.1.7 + transformers worker triggers libc++abi mutex crash on short-lived CLI exit,0.9142,0.7753,0.9060,TRUE_DUP
96,121,Use BR-062 verify_mirror.sh primitive for repo↔~/.igris symlink-mirror integrity checks,Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9137,0.8269,0.9297,TRUE_DUP
58,95,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually populate vec table,sqlite-vec v0.1.7 mutex teardown crash only fires when embeddings actually run,0.9135,0.9667,0.9182,TRUE_DUP
67,81,sqlite-vec v0.1.7 mutex teardown crash fires only when embeddings actually run,sqlite-vec v0.1.7 native mutex teardown race fires only when embeddings actually run,0.9135,0.9590,0.8921,TRUE_DUP
91,122,Don't mock the function under test — mock at the I/O boundary instead,"Mock at I/O boundary, not at logic boundary, to preserve bug surface in tests",0.9133,0.7909,0.8847,TRUE_DUP
69,78,"Mock at I/O boundary, not the function under test — preserve bug surface",Don't mock the function-under-test; mock at the I/O boundary instead,0.9128,0.8164,0.9046,TRUE_DUP
83,111,Sentinel MIRROR_CHECK contract: quote verbatim primitive output for byte-equal claims,Use BR-062 verify_mirror.sh primitive for symlink/mirror byte-equality checks,0.9121,0.5576,0.9162,TRUE_DUP
30,91,"Mock at the I/O boundary, not at the function under test",Don't mock the function under test — mock at the I/O boundary instead,0.9111,0.9666,0.8542,TRUE_DUP
69,91,"Mock at I/O boundary, not the function under test — preserve bug surface",Don't mock the function under test — mock at the I/O boundary instead,0.9109,0.8891,0.8760,TRUE_DUP
33,41,"Capture exit codes through hooks with set +e/set -e, log truthfully","Capture exit code with set +e/set -e bracket, not || true",0.9108,0.7868,0.8955,TRUE_DUP
93,109,Capture exit codes from `nohup`/detached processes with set +e/set -e bracket,Capture rc with set +e/set -e bracket and write definitive exit-code log line,0.9108,0.5861,0.8943,TRUE_DUP
71,115,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iterating,Filter SYNC_TABLES against sqlite_master before iteration to defend against schema drift,0.9097,0.8218,0.8918,TRUE_DUP
55,91,Mocking the function-under-test erases the bug surface in tests,Don't mock the function under test — mock at the I/O boundary instead,0.9094,0.7200,0.8648,TRUE_DUP
64,100,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iterating,Defense-in-depth: filter SYNC_TABLES against sqlite_master before iteration,0.9088,0.9791,0.9155,TRUE_DUP
30,55,"Mock at the I/O boundary, not at the function under test",Mocking the function-under-test erases the bug surface in tests,0.9081,0.6887,0.8453,TRUE_DUP
73,111,"Use BR-062 verify_mirror.sh primitive for mirror-integrity checks, quote verbatim",Use BR-062 verify_mirror.sh primitive for symlink/mirror byte-equality checks,0.9075,0.8138,0.8938,TRUE_DUP
41,116,"Capture exit code with set +e/set -e bracket, not || true","Capture exit codes with set +e/set -e bracketing in bash hook helpers, never `|| true`",0.9072,0.8963,0.9558,TRUE_DUP
78,114,Don't mock the function-under-test; mock at the I/O boundary instead,Don't mock the function under test — mock at the I/O boundary instead,0.9071,0.9342,0.8913,TRUE_DUP
55,78,Mocking the function-under-test erases the bug surface in tests,Don't mock the function-under-test; mock at the I/O boundary instead,0.9071,0.7847,0.8807,TRUE_DUP
38,114,"Mock at I/O boundary, never mock the function under test",Don't mock the function under test — mock at the I/O boundary instead,0.9070,0.9734,0.8794,TRUE_DUP
39,136,Standalone CLIs must boot the engine to run per-component migrations,Standalone CLI scripts must run engine boot to get per-component migrations,0.9066,0.9114,0.8698,TRUE_DUP
72,134,"Capture rc with set +e/set -e bracket, not `|| true`, when log clarity matters",Bash helper rc-capture: set +e / cli_rc=$? / set -e + definitive log line,0.9062,0.7445,0.8642,TRUE_DUP
56,133,Filter SYNC_TABLES against sqlite_master before iterating to defend against schema drift,sqlite_master preflight filter for SYNC_TABLES iteration (defense-in-depth against partial schemas),0.9058,0.8239,0.8783,TRUE_DUP
74,89,sqlite-vec teardown crash only fires when embeddings pipeline actually runs,sqlite-vec v0.1.7 mutex teardown crash conditional on embedding pipeline + vec ops,0.9057,0.8939,0.9170,TRUE_DUP
81,89,sqlite-vec v0.1.7 native mutex teardown race fires only when embeddings actually run,sqlite-vec v0.1.7 mutex teardown crash conditional on embedding pipeline + vec ops,0.9055,0.8837,0.9284,TRUE_DUP
73,121,"Use BR-062 verify_mirror.sh primitive for mirror-integrity checks, quote verbatim",Use BR-062 verify_mirror.sh primitive for any claim about ~/.igris mirror byte-equality,0.9054,0.7282,0.8544,TRUE_DUP
38,69,"Mock at I/O boundary, never mock the function under test","Mock at I/O boundary, not the function under test — preserve bug surface",0.9053,0.8953,0.8935,TRUE_DUP
81,102,sqlite-vec v0.1.7 native mutex teardown race fires only when embeddings actually run,sqlite-vec v0.1.7 mutex teardown crash on short-lived Node CLIs,0.9052,0.7921,0.8836,TRUE_DUP
