id,finding,title
901,fr054_split_parent_open,FR-054 was split into FR-061/062/063 127 days ago but the parent brief is still open — close/archive it to stop counting a superseded parent as active work.
902,superseded_briefs_open,"A large cluster of briefs marked 'Superseded' are still sitting in the open set (e.g. FR-140, TD-181, TD-204, TD-247, TD-250, TD-251, FR-174, FR-117) — sweep them to Closed to declutter the 61-brief backlog."
1270,feco_slug_variant,"fifty_eco_system (34 open briefs, 0 learnings) and fifty-eco-system (0 open briefs, 7 learnings) are the same project split across two slugs, so harvest and recall never meet"
1271,queue_flood_stalled_gap,60 of 68 open suggestions are mechanical stalled/gap rows for one dormant project — the review queue is unusable until they are batch-resolved
1272,feco_abandoned,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever
1273,br128_malformed_status,BR-128 is still listed as an open brief despite status 'Done (Resolved by dec8d1f)' — a resolved brief is leaking into the open set
1274,fr054_split_parent_open,"FR-054's status is the free-text 'Split (see FR-061, FR-062, FR-063)' — a split brief has no terminal state, so it counts as open forever"
1275,br023_p0_unattended,lifeOS BR-023 is the only P0-Critical brief in the brain and has sat In Progress for 105 days with no project activity recorded
1276,zero_learnings_projects,"Seven projects carry 100+ open briefs between them but zero learnings — fifty_eco_system (34), lifeOS (14), attendance_app (4) never ran /harvest"
1289,brief_id_collision,"BR-001 exists as a distinct brief in three projects (hadir-system, attendance_app, fifty_eco_system) — cross-project brief references are ambiguous"
1290,feco_slug_variant,"Two near-identical project slugs exist — 'fifty_eco_system' (34 open briefs, 0 learnings) and 'fifty-eco-system' (0 briefs, 7 learnings); knowledge and work are split across a spelling variant"
1291,lifeos_dark,lifeOS has 14 open briefs including a P0-Critical a11y regression but zero learnings and no recorded activity — work is being briefed but nothing is being harvested
1292,feco_unchecked_ac,"27 'Done but unchecked acceptance criteria' suggestions all land on fifty_eco_system — treat as one process defect (bulk AC audit), not 27 individual reviews"
1294,fr054_split_parent_open,"FR-054 has sat in status 'Split (see FR-061, FR-062, FR-063)' for 163 days — a split parent should be closed, not left open as a P1"
1295,br128_malformed_status,BR-128's status is the unparsed string 'Done(Resolvedbydec8d1f)' — a done brief is leaking into the open-briefs list via a status field that lost its whitespace
1296,feco_abandoned,fifty_eco_system's entire 34-brief backlog is uniformly 143–163 days stale with zero commits — decide bulk-archive vs. revival rather than triaging 30 stall alerts individually
1297,zero_learnings_projects,Learning capture is concentrated in igris-ai/mbrgea-ai while 8 active projects with open briefs have recorded zero learnings
1299,br023_p0_unattended,"BR-023 is the only P0-Critical brief in the brain, has sat In Progress for 105 days, and no stalled suggestion covers it"
1300,stalled_detector_gap,"The stalled detector has flagged only fifty_eco_system and attendance_app, missing 14 lifeOS and 4 hadir/hadir-system briefs idle 105–148 days"
1302,feco_unchecked_ac,"Commit 03adca2 now refuses closing commits on unticked criteria, but the 27 already-Done briefs flagged by the gap module were never reconciled"
1304,fr054_split_parent_open,"FR-054 sits in a non-canonical status 'Split (see FR-061, FR-062, FR-063)' that the new status vocabulary normalization does not cover"
