id_a,id_b,anchor_pre,anchor_post,score,label,projects_a,projects_b,title_a,title_b
1570,1677,brief:br-027|brief:br-001,global|global,0.7083,SAME,fya-hadir-app hadir hadir-system moca-hadir-app,fya-hadir-app hadir hadir-system moca-hadir-app,"Four overlapping hadir project slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each hold open briefs — likely one product split across duplicate brain entries","Overlapping Hadir project slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each hold open briefs — likely one product tracked under four brain identities"
1486,1596,global|brief:br-024,global|global,0.6774,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work there is not reaching the brain","Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work is either happening outside the brain or these are dead entries"
1570,1578,brief:br-027|global,global|global,0.6400,SAME,fya-hadir-app hadir hadir-system moca-hadir-app,fya-hadir-app hadir hadir-system moca-hadir-app,"Four overlapping hadir project slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each hold open briefs — likely one product split across duplicate brain entries","Four near-duplicate Hadir projects (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each carry open briefs — likely one product split across four brain slices"
1430,1596,global|brief:br-024,global|global,0.5455,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs have recorded zero learnings — attendance_app (4 briefs), lifeOS (14), hadir-system (1), moca-hr-agent (1) — so nothing from that work is reaching the brain","Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work is either happening outside the brain or these are dead entries"
1596,1698,brief:br-024|global,global|global,0.5294,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work is either happening outside the brain or these are dead entries","Four projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work is being briefed but never executed or never harvested"
1335,1344,global|brief:int-001,global|global,0.4848,SAME,igris-os-eval mbrgea-test,igris-os-eval mbrgea-test,"At least nine throwaway test/sandbox projects (test-v5-verify, agy-deny-test, igris-nobrief-*, igris-agy-hunt-*, mbrgea-test, igris-os-eval) are registered as 'active' and contribute open briefs to the real backlog","Seven throwaway test/sandbox projects (test-v5-verify, agy-deny-test, igris-nobrief-*, igris-agy-hunt-*, mbrgea-test, igris-os-eval) sit in the active roster, four carrying open briefs that feed the stalled detector"
1578,1677,global|brief:br-001,global|global,0.4815,SAME,fya-hadir-app hadir hadir-system moca-hadir-app,fya-hadir-app hadir hadir-system moca-hadir-app,"Four near-duplicate Hadir projects (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each carry open briefs — likely one product split across four brain slices","Overlapping Hadir project slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) each hold open briefs — likely one product tracked under four brain identities"
1430,1692,global|brief:br-002,global|global,0.4516,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs have recorded zero learnings — attendance_app (4 briefs), lifeOS (14), hadir-system (1), moca-hr-agent (1) — so nothing from that work is reaching the brain","Four active projects carry 53 open briefs between them and zero recorded learnings — attendance_app, lifeOS, hadir-system, and moca-hr-agent are producing no institutional memory"
1486,1692,global|brief:br-002,global|global,0.4375,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work there is not reaching the brain","Four active projects carry 53 open briefs between them and zero recorded learnings — attendance_app, lifeOS, hadir-system, and moca-hr-agent are producing no institutional memory"
1596,1692,brief:br-024|brief:br-002,global|global,0.4286,SAME,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir-system lifeos moca-hr-agent,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work is either happening outside the brain or these are dead entries","Four active projects carry 53 open briefs between them and zero recorded learnings — attendance_app, lifeOS, hadir-system, and moca-hr-agent are producing no institutional memory"
