id_a,id_b,entity_key,score,title_a,title_b,label
1361,1429,learning:1248,0.2439,"'A check that reports success without having checked' has now been learned four separate times across two projects — it is a systemic defect class, not four incidents",Nine recent learnings across three projects describe the same defect — a check or sweep that reports success without having checked — which is worth promoting into a cross-project standard rather than re-learning per project,SAME
1378,1498,project:fifty_eco_system,0.2439,"All 34 fifty_eco_system briefs share days_since_update 170 and the project has null activity — the backlog looks abandoned, not stalled; consider a bulk triage-or-archive pass rather than 30 more per-brief stall alerts","fifty_eco_system holds 34 open briefs but has seen zero activity for 173 days — decide whether to archive the project or re-commit to it, rather than triaging 30 stalled briefs one at a time",SAME
1395,1561,project:fifty_eco_system,0.2439,"27 fifty_eco_system briefs are Done with unchecked acceptance criteria — this looks like a per-project closing habit, and the gate that now refuses such commits landed only recently","27 briefs are marked Done with unchecked acceptance criteria in one project, and a sibling learning shows the AC parser fails open — the gap suggestions may be a parser artifact, not 27 real gaps",SAME
1408,1558,project:igris-ai,0.2439,'A check that reports success without having checked' is already named as a recurring class (1248) and has kept recurring since — three later learnings are fresh instances,A single defect class — a check or push that reports success without having checked — now spans at least five separate learnings across igris-ai and mbrgea-ai; it warrants a shared guard rather than another per-incident learning,SAME
1430,1579,global,0.2439,"Four active projects with open briefs have recorded zero learnings — attendance_app (4 briefs), lifeOS (14), hadir-system (1), moca-hr-agent (1) — so nothing from that work is reaching the brain","The four projects with the most open briefs outside igris-ai/mbrgea-ai (fifty-dev 61, lifeOS 14, hero-lab 18, attendance_app 4) have captured almost no learnings — knowledge is only being harvested where the operator already lives",SAME
1458,1470,project:igris-ai,0.2439,Six-plus recent learnings all restate one defect class — partial claim sweeps and checks that report success without checking — and should be promoted into a coding_guidelines rule instead of accumulating as memory,Five recent learnings restate one lesson — partial claim sweeps — across two projects; consolidate into a single promoted standard instead of letting the sixth recurrence be filed as new,EXCLUDED
1272,1378,project:fifty_eco_system,0.2432,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,"All 34 fifty_eco_system briefs share days_since_update 170 and the project has null activity — the backlog looks abandoned, not stalled; consider a bulk triage-or-archive pass rather than 30 more per-brief stall alerts",SAME
1318,1508,project:fifty_eco_system,0.2432,"27 briefs are Done with unchecked acceptance criteria, but a commit gate now refuses exactly this — decide whether the historical backlog gets audited or grandfathered","27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is one closing-ritual defect, not 27 briefs to reopen; fix the close step or backfill the checkboxes in a single pass",SAME
1377,1821,project:fifty_eco_system,0.2432,"Two project slugs exist for the same codebase — fifty_eco_system (34 open briefs, 0 learnings) and fifty-eco-system (0 briefs, 7 learnings); briefs and knowledge are split across them","fifty_eco_system has 33 open briefs but only 7 learnings in 187 days — the project consumes brief-writing effort and returns almost no knowledge, which is the strongest single argument for archiving it outright",DIFFERENT
1378,1393,project:fifty_eco_system,0.2432,"All 34 fifty_eco_system briefs share days_since_update 170 and the project has null activity — the backlog looks abandoned, not stalled; consider a bulk triage-or-archive pass rather than 30 more per-brief stall alerts","fifty_eco_system has 34 open briefs (7 at P1-High) with 170 days of no activity — decide whether to archive the project or re-commit to it, rather than re-triaging briefs one by one",SAME
