id_a,id_b,design,score,label,shape,separated_by,projects_a,projects_b
1596,1614,a,0.5806,DIFFERENT,S2,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,attendance_app lifeos
1486,1614,a,0.4063,DIFFERENT,S2,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,attendance_app lifeos
1614,1698,a,0.3235,DIFFERENT,S2,gate|gate+strip,attendance_app lifeos,attendance_app hadir-system lifeos moca-hr-agent
1434,1486,a,0.3030,DIFFERENT,S1,gate|strip|gate+strip,attendance_app hadir hadir-system lifeos,attendance_app hadir-system lifeos moca-hr-agent
1430,1614,a,0.2941,DIFFERENT,S2,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,attendance_app lifeos
1434,1596,a,0.2703,DIFFERENT,S1,gate|strip|gate+strip,attendance_app hadir hadir-system lifeos,attendance_app hadir-system lifeos moca-hr-agent
1434,1698,a,0.2647,DIFFERENT,S1,gate|strip|gate+strip,attendance_app hadir hadir-system lifeos,attendance_app hadir-system lifeos moca-hr-agent
1331,1434,a,0.2571,DIFFERENT,S1,gate|strip|gate+strip,attendance_app fifty_eco_system hadir-system lifeos,attendance_app hadir hadir-system lifeos
1474,1486,a,0.2500,DIFFERENT,S1,gate|strip|gate+strip,hadir hadir-system igris-ai lifeos,attendance_app hadir-system lifeos moca-hr-agent
1291,1698,c,0.3871,DIFFERENT,S2,gate|gate+strip,lifeos,attendance_app hadir-system lifeos moca-hr-agent
1486,1831,c,0.3333,DIFFERENT,S1,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,customerpulse hadir-system igris-os-eval moca-hr-agent
1486,1695,c,0.3226,DIFFERENT,S1,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir hadir-system moca-hadir-app
1695,1698,c,0.3226,DIFFERENT,S1,gate|gate+strip,attendance_app hadir hadir-system moca-hadir-app,attendance_app hadir-system lifeos moca-hr-agent
1341,1801,c,0.3103,DIFFERENT,S3,none,,
1430,1495,c,0.3030,DIFFERENT,S2,gate|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,lifeos
1355,1801,c,0.2963,DIFFERENT,S3,none,fifty_eco_system,
1430,1695,c,0.2903,DIFFERENT,S1,gate|strip|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,attendance_app hadir hadir-system moca-hadir-app
1446,1486,c,0.2857,DIFFERENT,S2,gate|gate+strip,lifeos,attendance_app hadir-system lifeos moca-hr-agent
1446,1698,c,0.2857,DIFFERENT,S2,gate|gate+strip,lifeos,attendance_app hadir-system lifeos moca-hr-agent
1430,1831,c,0.2826,DIFFERENT,S1,gate|strip|gate+strip,attendance_app hadir-system lifeos moca-hr-agent,customerpulse hadir-system igris-os-eval moca-hr-agent
